booking_id,room_id,customer_id,check_in,check_out,actual_check_out,final_price,status,payment_status,notes,created_at,updated_at
B0001,R003,77,2024-12-24,2024-12-27,,5013669.0,completed,paid,,2024-12-24T10:00:00,2024-12-27T12:00:00
B0002,R012,144,2025-12-17,2025-12-22,,9529075.0,completed,paid,,2025-12-17T10:00:00,2025-12-22T12:00:00
B0003,R012,82,2024-04-21,2024-04-22,2024-04-23,537758.0,completed,paid,,2024-04-21T10:00:00,2024-04-22T12:00:00
B0004,R014,26,2024-07-13,2024-07-18,2024-07-19,8652950.0,completed,paid,,2024-07-13T10:00:00,2024-07-18T12:00:00
B0005,R010,40,2025-09-08,2025-09-12,,6123352.0,completed,paid,,2025-09-08T10:00:00,2025-09-12T12:00:00
B0006,R015,35,2024-01-25,2024-01-29,2024-01-28,3790936.0,canceled,unpaid,,2024-01-25T10:00:00,2024-01-29T12:00:00
B0007,R007,84,2024-12-04,2024-12-08,,7687960.0,completed,paid,,2024-12-04T10:00:00,2024-12-08T12:00:00
B0008,R019,19,2025-09-18,2025-09-19,2025-09-18,695338.0,completed,paid,,2025-09-18T10:00:00,2025-09-19T12:00:00
B0009,R001,198,2024-06-08,2024-06-13,2024-06-14,6769450.0,completed,paid,,2024-06-08T10:00:00,2024-06-13T12:00:00
B0010,R006,195,2024-01-29,2024-01-31,,2868866.0,completed,paid,,2024-01-29T10:00:00,2024-01-31T12:00:00
B0011,R017,95,2025-08-28,2025-08-29,,715557.0,completed,paid,,2025-08-28T10:00:00,2025-08-29T12:00:00
B0012,R014,56,2025-07-21,2025-07-22,,1577898.0,completed,paid,,2025-07-21T10:00:00,2025-07-22T12:00:00
B0013,R003,49,2024-02-08,2024-02-10,2024-02-09,1686866.0,completed,paid,,2024-02-08T10:00:00,2024-02-10T12:00:00
B0014,R018,73,2025-04-30,2025-05-04,,3058480.0,completed,paid,,2025-04-30T10:00:00,2025-05-04T12:00:00
B0015,R002,180,2025-10-06,2025-10-08,,1358888.0,completed,paid,,2025-10-06T10:00:00,2025-10-08T12:00:00
B0016,R002,175,2024-05-27,2024-05-30,2024-05-31,2064084.0,completed,paid,,2024-05-27T10:00:00,2024-05-30T12:00:00
B0017,R012,199,2024-11-23,2024-11-27,,7537728.0,completed,paid,,2024-11-23T10:00:00,2024-11-27T12:00:00
B0018,R013,134,2025-10-07,2025-10-09,2025-10-08,1525368.0,completed,paid,,2025-10-07T10:00:00,2025-10-09T12:00:00
B0019,R020,63,2024-01-27,2024-01-28,,1330314.0,completed,paid,,2024-01-27T10:00:00,2024-01-28T12:00:00
B0020,R019,147,2025-02-11,2025-02-16,,6001935.0,completed,paid,,2025-02-11T10:00:00,2025-02-16T12:00:00
B0021,R010,143,2025-05-17,2025-05-20,,4226157.0,completed,paid,,2025-05-17T10:00:00,2025-05-20T12:00:00
B0022,R018,89,2025-10-01,2025-10-03,2025-10-02,3166454.0,completed,paid,,2025-10-01T10:00:00,2025-10-03T12:00:00
