room_id,floor,room_name,room_type,capacity,price_per_night,status

201,2,standard,twin,2,550000,available
202,2,standard,twin,2,550000,available
203,2,standard,twin,2,550000,available
204,2,standard,twin,2,550000,available
205,2,standard,twin,2,550000,available
206,2,standard,twin,2,550000,available
207,2,standard,twin,2,550000,available
208,2,standard,twin,2,550000,available
209,2,standard,twin,2,550000,available
210,2,standard,twin,2,550000,available
211,2,standard,double,2,650000,available
212,2,standard,double,2,650000,available

301,3,standard,double,2,650000,available
302,3,standard,double,2,650000,available
303,3,standard,double,2,650000,available
304,3,standard,double,2,650000,available
305,3,standard,double,2,650000,available
306,3,standard,double,2,650000,available
307,3,standard,double,2,650000,available
308,3,standard,double,2,650000,available

309,3,superior,double,2,850000,available
310,3,superior,twin,2,800000,available
311,3,superior,double,2,850000,available
312,3,superior,twin,2,800000,available

401,4,superior,double,2,850000,available
402,4,superior,double,2,850000,available
403,4,superior,double,2,850000,available
404,4,superior,double,2,850000,available
405,4,superior,double,2,850000,available
406,4,superior,double,2,850000,available
407,4,superior,double,2,850000,available
408,4,superior,twin,2,800000,available
409,4,superior,twin,2,800000,available
410,4,superior,twin,2,800000,available
411,4,superior,twin,2,800000,available

412,4,deluxe,king,2,1100000,available
413,4,deluxe,king,2,1100000,available

501,5,deluxe,king,2,1200000,available
502,5,deluxe,king,2,1200000,available
503,5,deluxe,king,2,1200000,available
504,5,deluxe,twin,2,1100000,available
505,5,deluxe,twin,2,1100000,available
506,5,deluxe,twin,2,1100000,available
507,5,deluxe,twin,2,1100000,available
508,5,deluxe,twin,2,1100000,available

509,5,suite,junior,2,1500000,available
510,5,suite,junior,2,1500000,available
511,5,suite,junior,2,1500000,available
512,5,suite,executive,3,1800000,available
513,5,suite,family,4,2200000,available
